ground,ground_long,country,height,width,rounded_rect,batting_record_name,batting_record_country,batting_record_against,batting_record_score,batting_record_date,bowling_record_name,bowling_record_country,bowling_record_against,bowling_record_figures,bowling_record_date,odi_only,measurement_url,notes
Adelaide Oval,Adelaide Oval,Aus,166.1,127.1,0,Don Bradman,AUS,SA,299*,Jan 1932,Albert Trott,AUS,ENG,8 for 43,Jan 1895,0,https://maps.google.com,
Bellerive Oval,Bellerive Oval,Aus,174.5,131.4,0,Adam Voges,AUS,WI,269*,Dec 2015,Shane Warne,AUS,NZ,6 for 31,Nov 1993,0,https://maps.google.com,
MCG,Melbourne Cricket Ground,Aus,147.8,172.9,0,Robert Cowper,AUS,ENG,307,Feb 1966,Sarfraz Nawaz,PAK,AUS,9 for 86,Mar 1979,0,http://www.espncricinfo.com/ci/content/ground/56441.html,
SCG,Sydney Cricket Ground,Aus,156,154,0,Michael Clarke,AUS,IND,329*,Jan 2012,George Lohmann,ENG,AUS,8 for 35,Feb 1887,0,http://www.espncricinfo.com/ci/content/ground/56544.html,
The Gabba,Brisbane Cricket Ground,Aus,150,167,0,Michael Clarke,AUS,SA,259*,Nov 2012,Richard Hadlee,NZ ,AUS,9 for 52,Nov 1985,0,https://maps.google.com,
The WACA,Western Australia Cricket Association Ground ,Aus,149,139,0,Matthew Hayden,AUS,ZIM,380,Oct 2003,Glenn McGrath,AUS,PAK,8 for 24,Dec 2004,0,http://www.espncricinfo.com/ci/content/ground/56490.html,
Sher-e-Bangla,Sher-e-Bangla National Cricket Stadium,Ban,189.7,138.65,0,Azhar Ali,PAK,BAN,226,May 2015,Taijul Islam,BAN,ZIM,8 for 39,Oct 2014,0,https://maps.google.com,
ZAC Stadium,Zohur Ahmed Chowdhury Stadium,Ban,141.55,131.8,0,Kumar Sangakkara,SL,BAN,319,Feb 2014,Shakib Al Hasan,BAN,NZ,7 for 36,Oct 2008,0,https://maps.google.com,
Eden Gardens,Eden Gardens,Ind,141,136.5,0,VVS Laxman,IND,AUS,281,Mar 2001,Lance Klusener,SA,IND,8 for 64,Nov 1996,0,https://maps.google.com,
Feroz Shah Kotla,Feroz Shah Kotla Ground,Ind,135.65,132.7,0,Bert Sutcliffe,NZ,IND,230*,Dec 1955,Anil Kumble,IND,PAK,10 for 74,Feb 1999,0,https://maps.google.com,
Green Park Stadium,Green Park Stadium,Ind,165,139.9,0,Sheik Bacchus,WI,IND,250,Feb 1979,Jasubhai Patel,IND,AUS,9 for 69,Dec 1959,0,https://maps.google.com,
M A Chidambaram,M A Chidambaram Stadium,Ind,145.4,146,0,Virender Sehwag,IND,SA,319,Mar 2008,Mulvantrai Mankad,IND,ENG,8 for 55,Feb 1952,0,https://maps.google.com,
M. Chinnaswamy,M. Chinnaswamy Stadium,Ind,133.7,131.8,0,Younis Khan,PAK,IND,267,Mar 2005,Nathan Lyon,AUS,IND,8 for 50,Mar 2017,0,https://maps.google.com,
Mohali Stadium,Punjab Cricket Association IS Bindra Stadium,Ind,144.7,153.8,0,Shikhar Dawan,IND,AUS,187,Mar 2013,Dion Nash,NZ,IND,6 for 27,Oct 1999,0,https://maps.google.com,
Wankhede Stadium,Wankhede Stadium,Ind,141.7,138.8,0,Clive Lloyd,WI,IND,242*,Jan 1975,Ian Botham,ENG,IND,7 for 48,Feb 1980,0,https://maps.google.com,
Basin Reserve,Basin Reserve,NZ,148.1,146.8,0,Brendon McCullum,NZ,IND,302,Feb 2014,Richard Hadlee,NZ,IND,7 for 23,Feb 1976,0,https://maps.google.com,
Bay Oval,Bay Oval,NZ,144,144,0,Hashim Amla,SA,NZ,119,Oct 2014,Matt Henry,NZ,SL,5 for 40,Jan 2016,1,https://maps.google.com,
Cobham Oval,Cobham Oval,NZ,148,152,0,Rob Nicol,NZ,ZIM,146,Feb 2012,Jacob Oram,NZ,ZIM,3 for 29,Feb 2012,1,https://maps.google.com,
Eden Park,Eden Park,NZ,136.6,108,1,Wally Hammond,ENG,NZ,336*,Mar 1933,Erapally Prasanna,IND,NZ,8 for 76,Jan 1976,0,https://maps.google.com,Looks more like a rounded rectangle...
Hagley Oval,Hagley Oval,NZ,149,149,0,Brendon McCullum,NZ,SL,195,Dec 2014,Colin de Grandhomme,NZ,PAK,6 for 41,Nov 2016,0,https://en.wikipedia.org/wiki/Hagley_Oval#Ground_specifications,
McLean Park,McLean Park,NZ,163,125,0,Jesse Ryder,NZ,IND,201,Mar 2009,Ryan Sidebottom,ENG,NZ,7 for 47,Mar 2008,0,https://maps.google.com,
