season,totalseasonsixes,totalseasonfours,MostSixes,MostFours,MostWickets,sixesplayer,foursplayer,mostwicketsplayer,sixcountry,fourcountry,wicketcountry
2008,619,2593,31,59,22,Sanath Jayasuriya,Shaun Marsh,Sohail Tanveer,Sri Lanka,Australia,Pakistan
2009,442,2943,29,60,23,Adam Gilchrist,Mathew Hayden,RP Singh ,Australia,Australia,India
2010,582,2393,27,67,21,Robin Uthappa ,Jacques Kallis,Pragyan Ojha,India,South Africa,India
2011,638,1940,44,57,28,Chris Gayle,Chris Gayle,Lasith Malinga,West Indies,West Indies,Sri Lanka
2012,727,2593,59,64,25,Chris Gayle,Gautam Gambhir,Morne Morkel ,West Indies,India,South Africa
2013,674,3039,51,81,28,Chris Gayle,Mike Hussey,James Faulkner,West Indies,Australia,Australia
2014,714,2834,36,74,23,Glenn Mexwell,Robin Uthappa,Mohit Sharma,Australia,India,India
2015,692,3775,38,65,26,Chris Gayle,David Warner,Dwane Bravo,Australia,Australia,West Indies
2016,638,1273,38,88,23,Virat Kohli,David Warner,Bhuvneshwar Kumar,Australia,Australia,India
2017,705,3745,26,63,26,Glenn Mexwell,David Warner,Bhuvneshwar Kumar,Australia,Australia,India
2018,872,1638,37,68,24,Rishabh Pant,Rishabh Pant,Andre Tye,India,India,Australia
2019,784,3493,52,64,26,Andre Russel,Shikhar Dhawan,Imran Tahir,West Indies,India,South Africa
