year,count,teams,Winner,RunnerUp
2008,57,8,Rajasthan Royals,Chennai Super Kings
2009,56,8,Deccan Chargers,Royal Challengers Bangalore
2010,59,9,Chennai Super Kings,Mumbai Indians
2011,72,11,Chennai Super Kings,Royal Challengers Bangalore
2012,73,12,Kolkata Knight Riders,Chennai Super Kings
2013,75,12,Mumbai Indians,Chennai Super Kings
2014,59,8,Kolkata Knight Riders,Kings XI Punjab
2015,58,8,Mumbai Indians,Chennai Super Kings
2016,59,8,Sunrisers Hyderabad,Royal Challengers Bangalore
2017,58,8,Mumbai Indians,Rising Pune Supergiants
2018,60,8,Chennai Super Kings,Sunrisers Hyderabad
2019,57,8,Mumbai Indians,Chennai Super Kings
